buffer,b1,se,z,p,aic,daic
100,-0.5660780928540137,0.060498617949981945,-9.35687643843412,8.212874413795473e-21,83204.49026701106,0
200,-0.25231583637632815,0.0724948981708649,-3.480463353181615,5.005472953593851e-4,83283.13160499398,78.64133798291732
300,-0.058559705561100024,0.06587959543703983,-0.8888898781575651,0.3740622657733264,83294.54735651975,90.05708950868575
400,-0.050067160496811924,0.07460066085427751,-0.6711356162730445,0.5021341395180234,83294.8872457297,90.39697871863609
500,0.160409575253069,0.07584610778424367,2.114934832376364,0.03443550192279937,83290.85097843668,86.36071142561559
600,0.2849176506500712,0.0717914887543398,3.9686828563343854,7.227098940301619e-5,83279.43406111225,74.94379410118563
700,0.4890798429092552,0.07823346794906617,6.2515424118443805,4.0641869791883486e-10,83255.13051809782,50.64025108676287
800,0.3905169826030489,0.07454488768066184,5.2386822859799596,1.617271836523738e-7,83267.39139501011,62.90112799905182
900,0.5739390323862363,0.0766109314019845,7.491607553688732,6.803509771707858e-14,83236.99196904954,32.50170203848393
1000,0.3930882582813422,0.07586404244431329,5.181483158768951,2.2012846758196394e-7,83267.99120025676,63.500933245697524
1100,0.4293101203492502,0.08063345843175718,5.3242181186187105,1.013881901453808e-7,83266.35986618229,61.86959917123022
1200,0.3685805235050169,0.07335095799379855,5.024890384337973,5.037201627726195e-7,83269.67674628408,65.18647927301936
1300,0.474700969250114,0.0799367637732122,5.938456185152597,2.8771852149097066e-9,83259.11427584324,54.62400883217924
1400,0.28589793423521365,0.08160436114651486,3.5034639107327137,4.5924888112086707e-4,83282.94214910468,78.45188209362095
1500,0.41973824656665226,0.08665377607157032,4.843854077633917,1.2734447220236851e-6,83271.37369817012,66.88343115906173
1600,0.33776398933474044,0.08601321785069198,3.926884701849614,8.60532062609254e-5,83279.70398034154,75.21371333047864
1700,0.41677483061112025,0.08709134337950039,4.785490893107764,1.7056992076807723e-6,83271.954435431835,67.46416842077451
1800,0.3585306201878746,0.08389591682776182,4.27351692125777,1.9241367489895086e-5,83276.79056669697,72.30029968591407
1900,0.41797189854202205,0.08428832676468452,4.958834925136344,7.091719313235414e-7,83270.22773281328,65.73746580221632
2000,0.5504834866859283,0.08835645019809565,6.230258067766883,4.656674410855117e-10,83255.09520408207,50.60493707100977
