buffer,b1,se,z,p,aic,daic
100,-3.43612355728065,0.4148339175805448,-8.283130697994306,1.1997862181284884e-16,20491.792844574542,0
200,-2.777662950855307,0.39004210116744,-7.12144392244183,1.0680218869514026e-12,20590.184976762066,98.39213218752411
300,-2.09172819984516,0.29462574220378485,-7.099611134448553,1.2510840662480481e-12,20620.246042197952,128.45319762341023
400,-2.279199960232738,0.35048105352579056,-6.503061826892792,7.870143000092131e-11,20627.61720981619,135.8243652416495
500,-2.1620090163274517,0.3344932775790802,-6.463535028192948,1.0228484453691956e-10,20632.05659133694,140.2637467623972
600,-1.6673987409938409,0.2732656999146347,-6.1017491090712035,1.0491396751055727e-9,20650.367549791055,158.5747052165134
700,-1.0766425639505062,0.2371115809889046,-4.540657860152712,5.607897213123755e-6,20677.724016624565,185.93117205002272
800,-1.2302410326023125,0.2546910101452792,-4.830327666063151,1.3630854778066859e-6,20673.55461282945,181.76176825490984
900,-0.8867283857574292,0.22144553632543898,-4.004273016613361,6.220848834426367e-5,20683.75956425321,191.9667196786686
1000,-0.895062305057451,0.21748951541552294,-4.115427372889201,3.864626739754852e-5,20682.737037487528,190.94419291298618
1100,-0.7664504891008033,0.22933166713831551,-3.3421049027587557,8.314563095666923e-4,20689.398393602605,197.60554902806325
1200,-0.3184953970992964,0.20117737861035478,-1.5831571089121605,0.113385659693173,20698.837347627385,207.04450305284263
1300,-0.29564866778542676,0.2069777791764923,-1.4284077689969017,0.15317452431616974,20699.31263287768,207.51978830313965
1400,-0.32047596473737244,0.20844380525882739,-1.537469364174355,0.12417841164725382,20698.98128307522,207.18843850067788
1500,-0.5388367858988699,0.19730906763984798,-2.730927637255977,0.006315633714214144,20693.652847266407,201.8600026918648
1600,-0.14679143335936845,0.19190308502806058,-0.7649248230579733,0.4443163115441941,20700.788160863616,208.99531628907425
1700,-0.5248035566720987,0.20541568196908128,-2.5548368636776764,0.010623757611280892,20694.62806833771,202.83522376316978
1800,-0.751254370892767,0.23407977827631588,-3.209394576604393,0.0013301481527210766,20690.359649663114,198.56680508857244
1900,-1.0717393705151617,0.2535385156770461,-4.22712646894379,2.3669464563869842e-5,20680.896317894912,189.10347332037054
2000,-0.5302194359219957,0.2633678173754448,-2.0132278924806513,0.0440906601771579,20697.18146435524,205.3886197806969
