buffer,b1,se,z,p,aic,daic
100,-0.2630744693118219,0.06800437446586396,-3.868493334114512,1.0950992959311514e-4,55970.25276128168,56.02710819904314
200,-0.3397263273328976,0.08360420066039248,-4.063507869812612,4.8340691713686575e-5,55968.59937280238,54.373719719747896
300,0.10344378244774075,0.07924627594166161,1.3053456609606804,0.19177517250354384,55983.63279288823,69.40713980559667
400,0.17999665920097516,0.08682607720908903,2.073071420323628,0.038165633316912764,55981.02456270299,66.79890962035279
500,0.22307822581805065,0.08516644955436316,2.6193204834217743,0.008810513127446922,55978.43717947756,64.21152639492357
600,0.25599474041626846,0.09062230803933863,2.824853459979662,0.0047302243991403,55977.29620232406,63.070549241427216
700,0.19310717767699231,0.09291962553748005,2.0782173470888625,0.03768934505884263,55981.00048461211,66.77483152947389
800,0.7661034027885475,0.09405336538834455,8.145411911900453,3.7799293258836536e-16,55914.225653082634,0
900,0.4679586676767538,0.09219385661246995,5.075811825985146,3.8584500673110894e-7,55958.897331526714,44.67167844407959
1000,0.47587184847006936,0.09182352351132045,5.182461206810492,2.189769209960052e-7,55957.75069196588,43.525038883242814
1100,0.052595136895377724,0.10258528262327028,0.5126967100000671,0.6081634914415213,55985.07594450935,70.85029142671556
1200,-0.038922108618864866,0.10546722380259255,-0.3690445923912534,0.7120944871267563,55985.2026717318,70.97701864916598
1300,0.16455031204735812,0.1086522411676113,1.5144677208592157,0.12990725470046263,55983.037716333994,68.81206325136009
1400,0.13041143167309424,0.10439150750278439,1.2492532658331026,0.21157245528232008,55983.77503130261,69.54937821997737
1500,0.3774432430824799,0.10014953061548126,3.7687969255857316,1.640362725559629e-4,55970.89038934307,56.66473626043444
1600,0.30160791447082363,0.10646932922036538,2.8328150151727667,0.004614007855671584,55977.225388137194,62.999735054560006
1700,0.16706858440677552,0.1075834785193518,1.5529204549444247,0.12044213937064718,55982.91913719731,68.69348411467217
1800,0.27402406082485786,0.10230513864316837,2.678497526704211,0.007395327832895041,55978.09923874649,63.87358566385228
1900,0.3607894569753624,0.10259568356068288,3.516614388186849,4.370882765060968e-4,55972.77735127625,58.551698193616176
2000,0.08323550410156055,0.11322502553164705,0.7351334540286392,0.46225822190917565,55984.798012471336,70.57235938870144
