buffer,b1,se,z,p,aic,daic
100,-3.827795461648614,0.30501814035382563,-12.549402659160906,4.005199699537287e-36,53176.72586149289,0
200,-3.28985602437491,0.29412656308585033,-11.185171410086681,4.8197321638806364e-29,53420.10051508384,243.37465359095222
300,-2.297402856803706,0.19859672870654327,-11.568180763936281,5.973585221726865e-31,53540.64773368062,363.92187218773324
400,-2.169028872129335,0.21580730103391751,-10.05076687275023,9.115526267096912e-24,53607.4110000582,430.68513856531354
500,-1.71893436466918,0.1679889561558431,-10.232424821275316,1.4192059783016983e-24,53629.54751278766,452.82165129477653
600,-1.2745330781391304,0.1417868187002567,-8.989080154436266,2.493081673834143e-19,53678.09365918306,501.3677976901745
700,-1.1332834886106045,0.1341766878821317,-8.446202589276492,3.0093129045518576e-17,53692.62323423117,515.8973727382836
800,-0.9024277279531929,0.1392443863093853,-6.48089127232821,9.118236508584808e-11,53729.28899143798,552.5631299450906
900,-0.8947790015298992,0.1323845574530625,-6.7589378908272355,1.3900696319955044e-11,53725.32073749471,548.5948760018218
1000,-0.861998545294534,0.13728902303368562,-6.2787142500317135,3.413843555728661e-10,53732.494116070295,555.7682545774078
1100,-1.147552280003446,0.15795652716330807,-7.264988035708171,3.7307129052616e-13,53714.03867365534,537.3128121624541
1200,-0.9388928895962088,0.14144770761519684,-6.637738464807302,3.1853238425759665e-11,53726.63841087047,549.9125493775864
1300,-1.19218032710054,0.16017049727552063,-7.443195515899449,9.827846463558316e-14,53710.20833517911,533.482473686221
1400,-1.032716475629821,0.16661519445551173,-6.198213068169895,5.710779868185658e-10,53732.03891613896,555.3130546460743
1500,-1.1475522800041367,0.15795652716329234,-7.264988035713268,3.730712905120944e-13,53714.03867365537,537.3128121624832
1600,-1.1044208310825423,0.15463895805664907,-7.141931405654962,9.202852410396585e-13,53716.65660909856,539.9307476056711
1700,-1.1988725693917948,0.166683984906431,-7.192488048955566,6.362113788045061e-13,53714.41642091895,537.6905594260606
1800,-1.2322894332206409,0.1626531875442852,-7.576177582656523,3.5588460003676195e-14,53707.09705886651,530.3711973736208
1900,-0.9571150347130822,0.16051474242725056,-5.962785849074714,2.4797332458876706e-9,53735.91174725391,559.1858857610205
2000,-1.030309809799346,0.1619596537265853,-6.361521441251532,1.9976501604457174e-10,53729.66170723569,552.9358457428025
