buffer,b1,se,z,p,aic,daic
100,-0.5660780928540137,0.060498617949981945,-9.35687643843412,8.212874413795473e-21,83204.49026701106,135.97895235546457
200,-0.4465259180956445,0.046691799180538715,-9.563262198766543,1.141022114145714e-21,83201.82308826936,133.31177361376467
300,-0.32559553012312553,0.038372363555061316,-8.485157023385375,2.1542762613056408e-17,83222.51867317347,154.00735851787613
400,-0.2739228628273195,0.03442817645406427,-7.956357002898499,1.7717869137159462e-15,83231.54217897485,163.03086431925476
500,-0.2039757987115849,0.03159244899061127,-6.456473151929532,1.0717118413083939e-10,83253.47871592105,184.96740126545774
600,-0.12693206235687846,0.0291682651337956,-4.351717929559326,1.3507496870460491e-5,83276.37119711793,207.8598824623332
700,-0.050313716713982944,0.02751058336654605,-1.8288858525321714,0.06741671004491898,83291.99220236728,223.4808877116884
800,0.003737246582063076,0.026067230297582875,0.14336953099346417,0.8859983450999572,83295.31724995752,226.80593530191982
900,0.06720852931869792,0.024894766979801638,2.699705097590491,0.00694009637117521,83288.04660910867,219.53529445307504
1000,0.10203689574296872,0.02392238789044727,4.265330710723667,1.996063154661017e-5,83277.12935725947,208.61804260387726
1100,0.13212709161061495,0.023173066735505034,5.70175251807194,1.1858190596578045e-8,83262.7833289765,194.27201432090078
1200,0.15823310534764648,0.022387483717651584,7.06792721072473,1.572649957606156e-12,83245.28836753301,176.77705287741264
1300,0.18636801292586685,0.021799122470347425,8.54933556061152,1.237991088760992e-17,83222.06327625606,153.55196160046034
1400,0.19759348885565103,0.021302616918541937,9.275550023324335,1.7670495708977926e-20,83209.06774114216,140.55642648656794
1500,0.21506268389665778,0.020897894967104227,10.291117083093395,7.727461199537465e-25,83189.09991536767,120.58860071207164
1600,0.2268686626622128,0.02052398811737097,11.053829371017667,2.100592282009128e-28,83172.73939978391,104.22808512831398
1700,0.24227017979761237,0.020186259611592684,12.001737045850733,3.479168711317171e-33,83150.76054419544,82.2492295398406
1800,0.25463989581153523,0.0198527755655588,12.826412859534477,1.1664073978820861e-37,83130.16775854575,61.65644389015506
1900,0.26974460301290876,0.019547524611856753,13.79942516349576,2.5689289853154243e-43,83104.0936218387,35.58230718311097
2000,0.28978375421565133,0.01928724390062047,15.024632638483356,5.0641309130746115e-51,83068.5113146556,0
