buffer,b1,se,z,p,aic,daic
100,-3.43612355728065,0.4148339175805448,-8.283130697994306,1.1997862181284884e-16,20491.792844574542,432.247776545355
200,-3.153521080977303,0.28386867000212346,-11.1090846374618,1.1331510396311241e-28,20379.371609304297,319.8265412751098
300,-2.776998619278943,0.20311499648484757,-13.672051140183083,1.491314084316227e-42,20300.893796517335,241.34872848814848
400,-2.6890705309501013,0.17582720247592867,-15.293825375616972,8.4063850184843e-53,20224.240067479328,164.69499945014104
500,-2.612356416989912,0.15574453654508602,-16.773342262530466,3.8238203347702715e-63,20151.515496053977,91.97042802478973
600,-2.4557146385640225,0.1348774470865168,-18.207007113567403,4.541015969931475e-74,20102.36228963574,42.817221606554085
700,-2.2327054868138654,0.11588143914450721,-19.267153595060403,1.013596394561682e-82,20094.710924717434,35.165856688247004
800,-2.1185914401236405,0.10522315394016657,-20.134270460362202,3.697172850355352e-90,20071.891826356783,12.346758327596035
900,-1.966003311740343,0.09439607332258101,-20.827172598820848,2.455345807991746e-96,20069.260379691645,9.71531166245768
1000,-1.8522844237006098,0.08634300791023246,-21.45262793747421,4.315689275876312e-102,20060.996723620257,1.4516555910704483
1100,-1.7622401177773193,0.08065613706290731,-21.84880384741052,7.979562583947429e-106,20059.545068029187,0
1200,-1.6209858551749412,0.0741367485990746,-21.86480909678274,5.619994663543143e-106,20089.482692566977,29.937624537789816
1300,-1.5139659529602962,0.06943581630916097,-21.803818741316533,2.134451956496198e-105,20113.43396464652,53.88889661733265
1400,-1.4301395505286796,0.06574377766305278,-21.75323051648127,6.438270681538696e-105,20131.139985797257,71.59491776807045
1500,-1.371964499414359,0.06255128227559018,-21.93343524709405,1.2465222289781986e-106,20132.19092588152,72.6458578523343
1600,-1.2874503018826668,0.059397774361698553,-21.67505964184498,3.5277966123925825e-104,20158.25915099005,98.71408296086156
1700,-1.251734078203508,0.057317163103605774,-21.838730502779587,9.948110482668037e-106,20155.889606181034,96.34453815184679
1800,-1.2396255486749552,0.05594332985410089,-22.158594275812227,8.619972030494072e-109,20142.48392160654,82.93885357735417
1900,-1.2455450259600556,0.054887605985468664,-22.69264624676489,5.295402100760925e-114,20115.752290581753,56.207222552566236
2000,-1.2293621352023634,0.05391380887842936,-22.802361042130432,4.344373671840593e-115,20112.979016632857,53.433948603669705
