buffer,b1,se,z,p,aic,daic
100,-3.827795461648614,0.30501814035382563,-12.549402659160906,4.005199699537287e-36,53176.72586149289,1697.4015056095304
200,-3.603007046170581,0.21126569354854138,-17.054387703239367,3.242527447324373e-65,52814.96063070359,1335.63627482023
300,-3.1124474570359055,0.14363477788986634,-21.669177219895946,4.008544935502457e-104,52588.582501196404,1109.2581453130479
400,-2.912354146254523,0.11921861290715148,-24.428686722959025,8.479458066137934e-132,52420.83620530936,941.5118494260023
500,-2.6434210617550726,0.09649122803816054,-27.395454649096674,3.10674684749415e-165,52289.47601622849,810.151660345131
600,-2.3553208900270874,0.0787556728446483,-29.90668233732371,1.6110171803330195e-196,52230.724610371224,751.4002544878676
700,-2.144042235444695,0.06735090393727414,-31.833904374045286,2.198662431777148e-222,52182.587340825994,703.2629849426376
800,-1.985351266227609,0.06018653951045739,-32.986632598849695,1.2629829598761469e-238,52175.1184840505,695.7941281671447
900,-1.8592083460845226,0.054587221706858355,-34.05940599191424,2.945526517914249e-254,52154.73665670805,675.412300824697
1000,-1.7685533854388262,0.050680649402459234,-34.89602848997844,8.540621199155858e-267,52132.98672688291,653.6623709995547
1100,-1.7353604889105942,0.048392691574840385,-35.85997043017994,1.285930231069559e-281,52066.51465803754,587.1903021541802
1200,-1.6838662367342816,0.04588578138812116,-36.69690666246774,8.181684974504881e-295,52022.4954828961,543.1711270127416
1300,-1.6671488074955991,0.0442695274861186,-37.65906035519262,0,51945.784241493275,466.4598856099183
1400,-1.6452197660311556,0.04290822466251336,-38.34276013448063,0,51897.22486676108,417.9005108777201
1500,-1.631320444053001,0.04156733690987507,-39.245247959713566,0,51823.007321142606,343.6829652592496
1600,-1.6167772729278047,0.04031299244987495,-40.10561297175099,0,51751.36619246911,272.04183658575494
1700,-1.611249017862294,0.039335860400676305,-40.96132641945698,0,51674.16643950154,194.8420836181831
1800,-1.608592361359758,0.038394947901045196,-41.89593811939952,0,51586.33396336499,107.00960748163197
1900,-1.5930632339875845,0.03747779609523998,-42.50685472377384,0,51538.34819927263,59.02384338927368
2000,-1.5831027377833862,0.036657146841799854,-43.18674185461119,0,51479.32435588336,0
