buffer,b1,se,z,p,aic,daic
30,0.7515249461932677,0.018694058135525583,40.20127362100656,0,81644.87742520495,1427.3430571909266
60,0.8400251874203832,0.019753862367564313,42.52460464641578,0,81440.76531436984,1223.2309463558195
90,0.9036954521388293,0.020425249060161608,44.24403587329765,0,81281.23034337755,1063.695975363531
120,0.95804139088303,0.020963903228019328,45.69957132804156,0,81140.23103664826,922.6966686342348
150,1.0055524955792317,0.0214195502422449,46.94554667147127,0,81015.09302286858,797.5586548545543
180,1.045525583572403,0.021812322105045075,47.93279590028512,0,80912.89366907875,695.359301064731
210,1.0796726887612362,0.022156485141390153,48.729420838701444,0,80828.41895473734,610.8845867233176
240,1.110439000808551,0.022467887835510725,49.423381892333055,0,80753.4037438785,535.8693758644804
270,1.139294590045148,0.02275439424700934,50.06921202461314,0,80682.44995613935,464.9155881253246
300,1.1655053795330816,0.023015257534721785,50.640553457842095,0,80618.74407227125,401.2097042572277
330,1.190769887459371,0.02325988408430466,51.19414538539685,0,80556.22155034707,338.6871823330439
360,1.2155598077955256,0.023488639803221762,51.75096633857855,0,80492.56887632406,275.0345083100401
390,1.2392075783696022,0.023705811939930557,52.27442036196429,0,80431.98626115923,214.45189314520394
420,1.2614445196988997,0.023912600885697834,52.752292639709125,0,80376.02778161758,158.49341360355902
450,1.28304295142964,0.02410928121475235,53.217801891354284,0,80320.98423303686,103.44986502283427
480,1.3038574787321775,0.024297723628833118,53.661713280207984,0,80267.99411060524,50.459742591221584
510,1.3237253552420365,0.024476899064347125,54.08059868049892,0,80217.53436801402,0
