buffer,b1,se,z,p,aic,daic
30,-2.1866734436954807,0.04272827828822713,-51.17625917302575,0,17592.59495717655,600.0838114633698
60,-2.4026961562439992,0.04554736819199491,-52.751591400758045,0,17324.627159518368,332.11601380518914
90,-2.514241393591285,0.047064069020341194,-53.42167487695602,0,17209.274447877317,216.7633021641377
120,-2.594573520974691,0.04821013399330894,-53.81801098778922,0,17139.59084209478,147.07969638160284
150,-2.665485364667379,0.049238759124031174,-54.13388582667344,0,17081.207452712413,88.69630699923437
180,-2.7221410891589843,0.050129747076214766,-54.30191149818444,0,17047.370944431088,54.85979871790914
210,-2.7722698305517155,0.05094011389053403,-54.42213648185176,0,17020.985578446063,28.474432732884452
240,-2.8148868331400565,0.05165601556846242,-54.492914371402485,0,17003.663822175986,11.152676462806994
270,-2.850468019488473,0.05229132688765667,-54.511296407001744,0,16995.38504952871,2.8739038155326853
300,-2.8810123235477323,0.05286689910194431,-54.49557989002189,0,16992.51114571318,0
330,-2.908927728058867,0.053412327439412925,-54.46172948292777,0,16992.641831257002,0.13068554382334696
360,-2.934367157533757,0.053924104237656124,-54.41661385048355,0,16995.037625287405,2.5264795742259594
390,-2.956601850945604,0.054398451586462844,-54.35084574505352,0,17001.367026272717,8.855880559538491
420,-2.977980645037319,0.05485327279082859,-54.289935559419064,0,17006.88638224758,14.375236534400756
450,-2.998069286711969,0.05529319445672215,-54.221307272426635,0,17013.78655726582,21.275411552640435
480,-3.0169230958870177,0.055717192520519,-54.147076681510356,0,17021.611148540007,29.10000282682813
510,-3.0366233511244505,0.05614659226022568,-54.083840690641495,0,17027.076772388406,34.56562667522667
