buffer,b1,se,z,p,aic,daic
30,1.1873392773851055,0.024462366457179002,48.53738412690059,0,53484.4128678605,2216.415532162355
60,1.3102018456556561,0.025993577119149836,50.40483037982533,0,53261.63914544039,1993.6418097422502
90,1.3890268212086767,0.026953946265679703,51.533337920811846,0,53119.95288919505,1851.955553496904
120,1.4589578581603413,0.027730851170716404,52.61136231191458,0,52980.65467570895,1712.65734001081
150,1.5252479242020498,0.02842517379265926,53.65835000086936,0,52840.786555480205,1572.789219782062
180,1.5892401766787563,0.029061012274388613,54.686332384895934,0,52699.0152839228,1431.0179482246604
210,1.6503379364074178,0.02965315096592722,55.65472412371046,0,52561.48180146264,1293.4844657645008
240,1.7106133903411256,0.03021934943099729,56.60655912686445,0,52422.82904943343,1154.831713735286
270,1.769987884678942,0.030755910510543945,57.54951992307765,0,52282.09909320281,1014.1017575046644
300,1.829220559998919,0.0312719619775607,58.49394935026726,0,52137.812940742544,869.8156050444013
330,1.8871114086901786,0.03176322801850898,59.41182702181675,0,51994.188540884614,726.191205186471
360,1.942206684577856,0.03222849958539904,60.2636396221735,0,51857.86514302623,589.8678073280898
390,1.9947926932018776,0.03267178176360285,61.055522090445784,0,51728.493430137256,460.4960944391132
420,2.0448635151953405,0.033093862166281136,61.78981180621531,0,51606.34766625807,338.3503305599297
450,2.0926682357540307,0.03349507866943102,62.476886721388276,0,51490.20570081883,222.2083651206849
480,2.1388018037284215,0.033879477678738903,63.12971598941233,0,51378.20745391544,110.21011821729917
510,2.1843411993771005,0.03425822322893412,63.76107671375759,0,51267.99733569814,0
