buffer,b1,se,z,p,aic,daic
30,-2.295666178360029,0.027097153926589738,-84.71982646514589,0,45114.789719604516,4362.342633122127
60,-2.576555808153165,0.02934878747788217,-87.79087756504111,0,44178.933662171905,3426.486575689516
90,-2.765829478540399,0.03082356666618034,-89.73100058453231,0,43539.45798441151,2787.010897929118
120,-2.918997765088971,0.032034394988281915,-91.1207396349059,0,43038.72949994854,2286.2824134661496
150,-3.0549131749783607,0.03312910010218836,-92.21238022026947,0,42613.65038403075,1861.2032975483598
180,-3.1754720399041667,0.03412316947143505,-93.05911757588625,0,42258.872554447145,1506.4254679647565
210,-3.278268367194844,0.035002620958169854,-93.6577969721914,0,41989.14230908244,1236.6952226000503
240,-3.3653499316684443,0.035777863360181954,-94.06235072756813,0,41790.475867048706,1038.0287805663174
270,-3.4458757178500488,0.036513292259034484,-94.37318589088432,0,41621.51063510255,869.0635486201645
300,-3.5228505037427933,0.037230439391796925,-94.62285595584433,0,41470.79865293324,718.3515664508523
330,-3.5944425669294273,0.037911421260554086,-94.81160155473668,0,41341.71839075125,589.2713042688629
360,-3.6638760932710794,0.038579981554014944,-94.96832154109174,0,41219.95836265453,467.51127617213933
390,-3.7319272953880027,0.03924415202649735,-95.09511870375576,0,41105.27784271996,352.8307562375703
420,-3.797122452803371,0.039896910319682136,-95.1733460656014,0,41004.883714122785,252.43662764039618
450,-3.859661229753439,0.040534916470559,-95.2181863395909,0,40915.00263151985,162.55554503745952
480,-3.920563497398882,0.041166511896899266,-95.23671831166696,0,40831.71895203397,79.27186555157823
510,-3.9807180900909973,0.0417973425000938,-95.23854513195579,0,40752.44708648239,0
