buffer,b1,se,z,p,aic,daic
30,-1.3262421289892534,0.16864963710330128,-7.863889610251006,3.723857400408724e-15,83225.02987582696,37.75019088591216
60,-1.7787202114630896,0.20356750094679643,-8.737741551034556,2.378168041462441e-18,83204.3013909899,17.02170604885032
90,-2.003561781421579,0.22487217309203164,-8.909780849592257,5.113353542373517e-19,83200.49831478452,13.21862984346808
120,-2.2401260379991275,0.24204177418613862,-9.25512154061634,2.139868162478581e-20,83193.53201821,6.252333268945222
150,-2.4452341264795145,0.25560844486937834,-9.566327621644442,1.1077051826625624e-21,83187.66675961051,0.3870746694592526
180,-2.570477650415398,0.26615856554029577,-9.657692756186101,4.560184237335115e-22,83187.27968494105,0
210,-2.6379743096509345,0.274876214020937,-9.596953738056081,8.234205684261013e-22,83190.45196856714,3.172283626088756
240,-2.692981848025997,0.2829074974590703,-9.518948321316952,1.749404600622647e-21,83193.52316557961,6.24348063855723
270,-2.6945750799997246,0.2887494122804405,-9.331880742956066,1.0400866621161503e-20,83198.80862825087,11.528943309822353
300,-2.6349708628684794,0.2930921979849368,-8.990245666668688,2.4667842499303375e-19,83206.97943248256,19.699747541511897
330,-2.5193196589088473,0.2960163993102967,-8.510743542515668,1.728215008555943e-17,83217.27477541969,29.995090478638303
360,-2.3857303702274515,0.29856916393833427,-7.990545101034594,1.3434340688701785e-15,83227.38344550921,40.103760568163125
390,-2.231035295933308,0.30096228571526135,-7.413006219802828,1.234680931814227e-13,83237.52305188934,50.24336694828526
420,-2.0576297288650145,0.30336745244249036,-6.7826317961880935,1.180061228551448e-11,83247.45461537584,60.17493043479044
450,-1.8470616672861795,0.30567836325474596,-6.042500514656567,1.5174386521951358e-9,83257.71415345809,70.4344685170363
480,-1.6034810225177605,0.3079450095527708,-5.207036882482686,1.918799657669631e-7,83267.64727856661,80.3675936255604
510,-1.34874790386499,0.3104681581981169,-4.344239073316894,1.3975924810672168e-5,83276.20177210754,88.92208716648747
