buffer,b1,se,z,p,aic,daic
30,-13.075553606476532,2.775895516368645,-4.7103911258092435,2.4724184960981813e-6,20576.933054017656,397.6440749180256
60,-22.250386514969648,3.12494992836905,-7.120237771804042,1.0774103311153115e-12,20495.440044001978,316.15106490234757
90,-28.67346918001257,3.3740964391474737,-8.498117850851187,1.926894304065954e-17,20438.821765003486,259.53278590385526
120,-36.088252432326094,3.7324407476068937,-9.66880785862832,4.091158475500067e-22,20371.993380299253,192.70440119962223
150,-39.20001140791941,3.782921730754512,-10.362363854697275,3.6775908985920325e-25,20333.894856500923,154.60587740129267
180,-40.64688582570452,3.695336794533625,-10.999507781220904,3.8422341707963835e-28,20311.724895732586,132.43591663295592
210,-41.54607890350905,3.582078858004679,-11.598314987027228,4.202716002533281e-31,20290.76105074738,111.47207164774954
240,-42.3602851976058,3.5635844348143317,-11.886987939381555,1.3830484295198974e-32,20276.76079690901,97.47181780937899
270,-43.85918170090857,3.6044194691423557,-12.168168016067378,4.592748283360338e-34,20257.718511572297,78.42953247266632
300,-45.623263288535306,3.657817022934656,-12.472811789784906,1.050525948875811e-35,20236.94808516589,57.659106066257664
330,-47.14006325054126,3.652169340117001,-12.90741443249482,4.087983293607337e-38,20214.24181727873,34.95283817909876
360,-46.68276386740853,3.5501034284193533,-13.149691215670735,1.7087080808012686e-39,20205.08872804428,25.799748944649764
390,-45.91253307681582,3.441244579316122,-13.341839563737144,1.3215759589724854e-40,20197.713555641894,18.42457654226382
420,-45.16054654997504,3.3368401956714844,-13.533925480925591,9.861385225020428e-42,20191.113181942826,11.824202843195962
450,-44.155355403693555,3.2250354992441816,-13.691432362230367,1.1423493354852071e-42,20187.438688647148,8.149709547516977
480,-43.62011176181341,3.150799325421815,-13.844141519858217,1.3801981685017919e-43,20181.23384760219,1.9448685025599843
510,-42.79275652174393,3.0616357909047234,-13.977089191624106,2.1510739493419247e-44,20179.28897909963,0
