buffer,b1,se,z,p,aic,daic
30,-1.0053812688526982,0.18523667641420463,-5.427549707297609,5.713295835537243e-8,55953.48152331486,59.52929387032782
60,-1.4497978861292096,0.2293497741752639,-6.321339933046138,2.593048890244507e-10,55939.91148261345,45.959253168912255
90,-1.9698784363109465,0.2675839274036508,-7.361721817242714,1.815530159042605e-13,55920.52815699713,26.575927552592475
120,-2.3848530046969345,0.29506605549745624,-8.082437678831866,6.348478370357706e-16,55905.15142385445,11.199194409913616
150,-2.5915344196496015,0.3092697663261853,-8.379527201880842,5.314073370930212e-17,55899.686791193875,5.734561749341083
180,-2.7200644578003197,0.31976396148710745,-8.506475980439683,1.7929972873860964e-17,55898.415635282356,4.463405837821483
210,-2.8481767416649917,0.3298953748591893,-8.633575850769935,5.9463193748186784e-18,55897.04695827167,3.0947288271345315
240,-2.9543162938416487,0.33871356282477005,-8.722167099550228,2.7292715010475305e-18,55896.370134448276,2.4179050037419074
270,-3.0767341618709114,0.3479277000173689,-8.8430273350392,9.315942645739526e-19,55894.80388340014,0.8516539556076168
300,-3.1829716337793124,0.3566650170392119,-8.92426080977091,4.486854891863316e-19,55893.952229444534,0
330,-3.221463419060574,0.3636527252293323,-8.858625814034545,8.10067792368791e-19,55896.241064352704,2.2888349081695196
360,-3.2507406021040604,0.37038676911951435,-8.776611026986036,1.684744423163494e-18,55898.66691348976,4.714684045226022
390,-3.181797217572831,0.37513212130527224,-8.481804241401049,2.2172839708710817e-17,55905.37011444328,11.41788499874383
420,-3.149312101697848,0.3805952437868858,-8.274701676149439,1.2877763074087075e-16,55909.987810087056,16.03558064252138
450,-3.136474098537971,0.38659371686750127,-8.113101588800385,4.934378474234516e-16,55913.48995482492,19.53772538038902
480,-3.1355217540057048,0.39290785864341954,-7.980297886714766,1.4598055296400487e-15,55916.327966564,22.375737119466066
510,-3.1053216141351667,0.39847903286532405,-7.792936034314979,6.5469769645013684e-15,55920.04871769585,26.09648825131444
