buffer,b1,se,z,p,aic,daic
30,-16.242465310285983,2.495008036445716,-6.509985167592614,7.515822586973134e-11,53403.45781154646,1439.4755950517865
60,-31.359907327767136,3.1432550772528227,-9.97688910286448,1.92404671531046e-23,53137.13145078764,1173.1492342929632
90,-44.13605675071174,3.5523203627970923,-12.42457105303393,1.9225485720236907e-35,52892.688874100546,928.7066576058714
120,-54.61032739785828,3.8344722591976277,-14.24194092599476,5.031007331727203e-46,52703.40285891741,739.4206424227377
150,-59.06812732369045,3.6296833552301253,-16.27363093217961,1.5187843095473635e-59,52570.18926021248,606.2070437178045
180,-64.34535826058584,3.607021386136107,-17.83891786943728,3.52455542382078e-71,52442.03043566047,478.04821916579385
210,-67.91019767968807,3.535707274599463,-19.20696268256007,3.2365666655170296e-82,52348.91102594495,384.9288094502772
240,-69.28649736760359,3.3827660053662756,-20.4822022149006,3.103071888785256e-93,52276.612104667685,312.62988817301084
270,-68.52755243553153,3.1762612291900663,-21.57491071759415,3.090766053499452e-103,52232.366986293295,268.38476979862025
300,-70.23009578997528,3.126780110485577,-22.460836166400206,1.0028316715989668e-111,52159.54962216271,195.56740566803637
330,-70.7663282399545,3.0403075565488518,-23.276042612045334,7.752985565739244e-120,52105.17163024255,141.1894137478739
360,-71.88199716201036,3.007698408774068,-23.899336766052063,3.111757125095761e-126,52053.079296786294,89.09708029161993
390,-72.52898119859938,2.9720170875874996,-24.403958342471693,1.552469629643851e-131,52012.57837795777,48.59616146309418
420,-72.3938889838089,2.924664428908009,-24.752887294778922,2.886122332509184e-135,51988.99401821571,25.011801721033407
450,-71.37274524019715,2.8370769074113324,-25.157141512008085,1.1804979635499243e-139,51972.86991501532,8.887698520644335
480,-69.91091341382247,2.736534494132843,-25.54724362645973,5.891895673837267e-144,51965.216785605626,1.23456911095127
510,-68.0540447988897,2.627906677045118,-25.896674868002286,7.259548408165572e-148,51963.982216494675,0
