buffer,b1,se,z,p,aic,daic
30,-1.5020349824419688,0.044178944341428585,-33.998888041184884,2.3137095250640516e-253,81936.91974602982,1729.6054492878611
60,-1.9117407208633095,0.05139278954490215,-37.19861750631402,7.184505244599758e-303,81622.51691908218,1415.2026223402208
90,-2.197843891492969,0.055990740232294486,-39.253703065445286,0,81410.95966722211,1203.6453704801534
120,-2.4188351528188035,0.059373104078934355,-40.7395771257479,0,81255.83544869002,1048.5211519480654
150,-2.5946052343260098,0.06197828972682207,-41.86313055365182,0,81136.72262361202,929.4083268700633
180,-2.750365057246221,0.06421147937797347,-42.83291841099804,0,81032.34296318336,825.0286664414016
210,-2.8901902669947024,0.06616623688928369,-43.680741158528825,0,80939.9007138365,732.5864170945424
240,-3.022671147593722,0.06800061755393247,-44.450642601832094,0,80853.33373237631,646.0194356343563
270,-3.1500531903650537,0.06977300896705613,-45.14715986883088,0,80773.70891753017,566.3946207882109
300,-3.2715507603236924,0.0714462488147148,-45.79037828575118,0,80698.12577349854,490.81147675658576
330,-3.3918211192273415,0.0730395747784775,-46.4381279534339,0,80619.28494609223,411.97064935027447
360,-3.5091999456684477,0.07455533080544859,-47.06839749428074,0,80540.88193548108,333.5676387391286
390,-3.6193043526305626,0.07596686609843614,-47.643196810840536,0,80468.48847163691,261.1741748949571
420,-3.7244397879184596,0.07730161975787232,-48.18061768413548,0,80399.8090130793,192.49471633734356
450,-3.8242985502462874,0.0785675565157156,-48.67528939227384,0,80335.07903024736,127.76473350540618
480,-3.9216737667196244,0.07979117778441402,-49.14921518410852,0,80271.85329470181,64.5389979598549
510,-4.020477005574097,0.08102056315305732,-49.62292101054575,0,80207.31429674196,0
