buffer,b1,se,z,p,aic,daic
30,-0.9773208931354497,0.047146450476031714,-20.729469202189453,1.878503968830165e-95,55523.35360660654,134.5187572775103
60,-1.091913933506879,0.05184285269478386,-21.06199556446749,1.77536714599245e-98,55508.81485171391,119.98000238488021
90,-1.1374609443340655,0.05463912166291933,-20.817701853834883,2.9919470486456975e-96,55521.838667828146,133.00381849911355
120,-1.149265373623142,0.05659946466896759,-20.305233986661047,1.1559227336039358e-91,55546.86369375032,158.0288444212856
150,-1.1505800679237925,0.05816019893467397,-19.782945880500407,4.175685745494435e-87,55571.312091128544,182.47724179951183
180,-1.1677647864151928,0.059663807591703165,-19.5724147276444,2.6578503287734374e-85,55581.23564567553,192.40079634649737
210,-1.2067085934050028,0.061215039278323204,-19.712616501290217,1.680491053275164e-86,55575.665104425876,186.83025509684376
240,-1.2536526544759292,0.06272179830545467,-19.987511333311115,7.07368795287366e-89,55564.01752952163,175.18268019259995
270,-1.308841178951602,0.06419029618605294,-20.390016197432388,2.050780755606595e-92,55546.35241611685,157.51756678782112
300,-1.370004290858211,0.06560249483202697,-20.883417534135887,7.577348425501356e-97,55524.05155137315,135.2167020441193
330,-1.4283111683290985,0.06690107144120266,-21.349600799508842,3.932836162602667e-101,55502.44053825287,113.6056889238389
360,-1.4830720148700238,0.06809896763138402,-21.778186460884566,3.735696885968618e-105,55482.18149547711,93.34664614807843
390,-1.5361714550844336,0.06921111359233294,-22.19544485489405,3.8007212817382757e-109,55462.13216353325,73.2973142042174
420,-1.587668967474447,0.07026541954302803,-22.595310435771545,4.8191894475370206e-113,55442.64055266875,53.80570333971991
450,-1.6371965611599995,0.07128027367073732,-22.968438206657975,9.641532041707945e-117,55424.19233181361,35.35748248457821
480,-1.6857319969553837,0.07226033693711614,-23.328593090042958,2.273415055935286e-120,55406.11204796327,17.277198634234082
510,-1.7326688246306345,0.0732063631808458,-23.66828168133862,7.652774484804671e-124,55388.83484932903,0
