buffer,b1,se,z,p,aic,daic
30,0.5732842535762652,0.03747969853004431,15.295860854289199,8.147631267041331e-53,53536.69688872909,1261.9747055140033
60,0.7746631004138967,0.04343627132134463,17.834475125244612,3.8161639797859744e-71,53448.29125944726,1173.5690762321683
90,0.9214053148717081,0.047692181399545654,19.319840020580102,3.657823117902847e-83,53389.67548013695,1114.9532969218635
120,1.0749851962151893,0.05131314334755717,20.94950973737931,1.895727412098493e-97,53319.38024062685,1044.6580574117615
150,1.2285721023031952,0.054499531071137364,22.54280134446588,1.5799904832119664e-112,53244.31955864712,969.5973754320294
180,1.3824094989084688,0.05749424445126482,24.04431108022078,9.573818804632186e-128,53167.78259174992,893.0604085348314
210,1.5329432330843515,0.06029672215424249,25.423326149686783,1.3928155442669058e-142,53092.45368600117,817.7315027860823
240,1.6796903553779676,0.06285893516232878,26.72158462500654,2.6423232630921214e-157,53017.09222745939,742.3700442443005
270,1.8259541796718326,0.0652555460236844,27.981593763832816,2.721626815792649e-172,52939.80819230401,665.0860090889182
300,1.9701849690040176,0.06751107451530867,29.18313748001837,3.174349193167104e-187,52862.050682553876,587.3284993387861
330,2.1196223592857395,0.0696567389925384,30.429537614627534,2.2347111330164946e-203,52777.02062020669,502.2984369916012
360,2.2695679532492594,0.07169504172977774,31.655856506833157,6.298962331417485e-220,52688.919754376206,414.1975711611158
390,2.4179498228059697,0.07369266774279415,32.811267346776205,4.067218901342662e-236,52601.705399827144,326.9832166120541
420,2.559566061020539,0.07559361719459827,33.85955264492144,2.625635121376823e-251,52518.95004804291,244.2278648278225
450,2.701697207619688,0.07743492953120465,34.889903354673564,1.0577542653462527e-266,52434.37002497003,159.64784175493696
480,2.840609539529599,0.07919131015445592,35.87021775481718,8.901866076551808e-282,52350.87823804895,76.15605483386025
510,2.9703558514816546,0.08086126053498215,36.73397906277532,2.095433160998921e-295,52274.72218321509,0
